Form	75 73 104 79	1681 2379	w9_forms_001.jpg
W	111 59 151 80	1681 2379	w9_forms_001.jpg
-	143 59 160 80	1681 2379	w9_forms_001.jpg
9	156 59 182 80	1681 2379	w9_forms_001.jpg
Request 	405 61 487 75	1681 2379	w9_forms_001.jpg
for 	494 61 521 75	1681 2379	w9_forms_001.jpg
Taxpayer	528 61 619 75	1681 2379	w9_forms_001.jpg
Give 	815 68 852 76	1681 2379	w9_forms_001.jpg
Form 	853 68 888 76	1681 2379	w9_forms_001.jpg
to 	892 68 907 76	1681 2379	w9_forms_001.jpg
the	910 68 932 76	1681 2379	w9_forms_001.jpg
Identification 	316 77 448 89	1681 2379	w9_forms_001.jpg
Number 	456 77 533 89	1681 2379	w9_forms_001.jpg
and 	541 77 577 89	1681 2379	w9_forms_001.jpg
Certification	584 77 707 89	1681 2379	w9_forms_001.jpg
(	74 85 82 92	1681 2379	w9_forms_001.jpg
Rev. 	79 85 102 92	1681 2379	w9_forms_001.jpg
October 	104 85 147 92	1681 2379	w9_forms_001.jpg
2018	148 85 176 92	1681 2379	w9_forms_001.jpg
)	172 85 177 92	1681 2379	w9_forms_001.jpg
Department 	74 94 132 103	1681 2379	w9_forms_001.jpg
of 	134 94 144 103	1681 2379	w9_forms_001.jpg
the 	144 94 162 103	1681 2379	w9_forms_001.jpg
Treasury	163 94 204 103	1681 2379	w9_forms_001.jpg
requester	818 82 884 90	1681 2379	w9_forms_001.jpg
. 	885 82 888 90	1681 2379	w9_forms_001.jpg
Do 	892 82 912 90	1681 2379	w9_forms_001.jpg
not	917 82 939 90	1681 2379	w9_forms_001.jpg
send 	817 94 851 101	1681 2379	w9_forms_001.jpg
to 	854 94 869 100	1681 2379	w9_forms_001.jpg
the 	872 94 895 100	1681 2379	w9_forms_001.jpg
IRS	900 94 923 100	1681 2379	w9_forms_001.jpg
.	925 94 928 100	1681 2379	w9_forms_001.jpg
Internal 	75 103 111 109	1681 2379	w9_forms_001.jpg
Revenue 	113 103 155 109	1681 2379	w9_forms_001.jpg
Service	157 103 192 109	1681 2379	w9_forms_001.jpg
Go 	298 102 320 111	1681 2379	w9_forms_001.jpg
to 	323 102 336 111	1681 2379	w9_forms_001.jpg
www.irs.gov/FormW9 	338 102 471 111	1681 2379	w9_forms_001.jpg
for 	475 102 492 111	1681 2379	w9_forms_001.jpg
instructions 	496 102 568 111	1681 2379	w9_forms_001.jpg
and 	573 102 595 111	1681 2379	w9_forms_001.jpg
the 	599 102 618 111	1681 2379	w9_forms_001.jpg
latest 	623 102 657 111	1681 2379	w9_forms_001.jpg
information	660 102 731 111	1681 2379	w9_forms_001.jpg
.	731 102 733 111	1681 2379	w9_forms_001.jpg
1 	117 115 126 123	1681 2379	w9_forms_001.jpg
Name 	129 115 161 123	1681 2379	w9_forms_001.jpg
(	161 115 167 123	1681 2379	w9_forms_001.jpg
as 	166 115 178 123	1681 2379	w9_forms_001.jpg
shown 	181 115 214 123	1681 2379	w9_forms_001.jpg
on 	217 115 230 123	1681 2379	w9_forms_001.jpg
your 	233 115 255 123	1681 2379	w9_forms_001.jpg
income 	259 115 296 123	1681 2379	w9_forms_001.jpg
tax 	299 115 315 123	1681 2379	w9_forms_001.jpg
return	317 115 346 123	1681 2379	w9_forms_001.jpg
)	346 115 350 123	1681 2379	w9_forms_001.jpg
. 	350 115 352 123	1681 2379	w9_forms_001.jpg
Name 	355 115 387 123	1681 2379	w9_forms_001.jpg
is 	387 115 397 123	1681 2379	w9_forms_001.jpg
required 	400 115 442 123	1681 2379	w9_forms_001.jpg
on 	445 115 458 123	1681 2379	w9_forms_001.jpg
this 	461 115 480 123	1681 2379	w9_forms_001.jpg
line	483 115 500 123	1681 2379	w9_forms_001.jpg
; 	499 115 502 123	1681 2379	w9_forms_001.jpg
do 	505 115 519 123	1681 2379	w9_forms_001.jpg
not 	522 115 538 123	1681 2379	w9_forms_001.jpg
leave 	541 115 569 123	1681 2379	w9_forms_001.jpg
this 	571 115 589 123	1681 2379	w9_forms_001.jpg
line 	592 115 610 123	1681 2379	w9_forms_001.jpg
blank	611 115 640 123	1681 2379	w9_forms_001.jpg
.	640 115 644 123	1681 2379	w9_forms_001.jpg
George 	115 130 170 140	1681 2379	w9_forms_001.jpg
Savage	173 130 224 140	1681 2379	w9_forms_001.jpg
2 	116 142 126 151	1681 2379	w9_forms_001.jpg
Business 	128 142 176 151	1681 2379	w9_forms_001.jpg
name	179 142 207 151	1681 2379	w9_forms_001.jpg
/	205 142 211 151	1681 2379	w9_forms_001.jpg
disregarded 	211 142 271 151	1681 2379	w9_forms_001.jpg
entity 	274 142 302 151	1681 2379	w9_forms_001.jpg
name	305 142 333 151	1681 2379	w9_forms_001.jpg
, 	333 142 336 151	1681 2379	w9_forms_001.jpg
if 	339 142 346 151	1681 2379	w9_forms_001.jpg
different 	348 142 390 151	1681 2379	w9_forms_001.jpg
from 	393 142 416 151	1681 2379	w9_forms_001.jpg
above	419 142 451 151	1681 2379	w9_forms_001.jpg
3 	116 172 126 182	1681 2379	w9_forms_001.jpg
Check 	129 172 164 182	1681 2379	w9_forms_001.jpg
appropriate 	165 172 224 182	1681 2379	w9_forms_001.jpg
box 	227 172 246 182	1681 2379	w9_forms_001.jpg
for 	249 172 263 182	1681 2379	w9_forms_001.jpg
federal 	266 172 299 182	1681 2379	w9_forms_001.jpg
tax 	303 172 320 182	1681 2379	w9_forms_001.jpg
classification 	323 172 387 182	1681 2379	w9_forms_001.jpg
of 	390 172 401 182	1681 2379	w9_forms_001.jpg
the 	403 172 419 182	1681 2379	w9_forms_001.jpg
person 	422 172 457 182	1681 2379	w9_forms_001.jpg
whose 	459 172 494 182	1681 2379	w9_forms_001.jpg
name 	497 172 525 182	1681 2379	w9_forms_001.jpg
is 	528 172 536 182	1681 2379	w9_forms_001.jpg
entered 	538 172 578 182	1681 2379	w9_forms_001.jpg
on 	581 172 593 182	1681 2379	w9_forms_001.jpg
line 	595 172 615 182	1681 2379	w9_forms_001.jpg
1. 	618 172 625 182	1681 2379	w9_forms_001.jpg
Check 	628 172 663 182	1681 2379	w9_forms_001.jpg
only 	665 172 687 182	1681 2379	w9_forms_001.jpg
one 	689 172 710 182	1681 2379	w9_forms_001.jpg
of 	712 172 723 182	1681 2379	w9_forms_001.jpg
the	725 172 742 182	1681 2379	w9_forms_001.jpg
following 	127 182 177 190	1681 2379	w9_forms_001.jpg
seven 	179 182 208 190	1681 2379	w9_forms_001.jpg
boxes	211 182 243 190	1681 2379	w9_forms_001.jpg
.	242 182 247 190	1681 2379	w9_forms_001.jpg
4 	757 172 765 182	1681 2379	w9_forms_001.jpg
Exemptions 	769 172 830 182	1681 2379	w9_forms_001.jpg
(	832 172 835 182	1681 2379	w9_forms_001.jpg
codes 	837 172 867 182	1681 2379	w9_forms_001.jpg
apply 	870 172 898 182	1681 2379	w9_forms_001.jpg
only 	901 172 923 182	1681 2379	w9_forms_001.jpg
to	923 172 937 182	1681 2379	w9_forms_001.jpg
certain 	757 182 792 189	1681 2379	w9_forms_001.jpg
entities	794 182 832 189	1681 2379	w9_forms_001.jpg
, 	832 182 834 189	1681 2379	w9_forms_001.jpg
not 	838 182 854 189	1681 2379	w9_forms_001.jpg
individuals	857 182 911 189	1681 2379	w9_forms_001.jpg
; 	910 182 913 189	1681 2379	w9_forms_001.jpg
see	917 182 937 189	1681 2379	w9_forms_001.jpg
instructions 	756 191 816 199	1681 2379	w9_forms_001.jpg
on 	819 191 832 199	1681 2379	w9_forms_001.jpg
page 	835 191 861 199	1681 2379	w9_forms_001.jpg
3	862 191 869 199	1681 2379	w9_forms_001.jpg
)	867 191 872 199	1681 2379	w9_forms_001.jpg
:	871 191 876 199	1681 2379	w9_forms_001.jpg
☐	123 200 137 210	1681 2379	w9_forms_001.jpg
Individual	145 203 195 211	1681 2379	w9_forms_001.jpg
/	193 203 198 211	1681 2379	w9_forms_001.jpg
sole 	198 203 219 211	1681 2379	w9_forms_001.jpg
proprietor 	222 203 271 211	1681 2379	w9_forms_001.jpg
or	274 203 285 211	1681 2379	w9_forms_001.jpg
C 	327 202 340 210	1681 2379	w9_forms_001.jpg
Corporation	338 202 403 210	1681 2379	w9_forms_001.jpg
☐	308 197 322 208	1681 2379	w9_forms_001.jpg
☐	424 198 438 208	1681 2379	w9_forms_001.jpg
S 	440 202 453 210	1681 2379	w9_forms_001.jpg
Corporation	450 202 514 210	1681 2379	w9_forms_001.jpg
☐ 	540 198 554 208	1681 2379	w9_forms_001.jpg
Partnership	559 202 620 209	1681 2379	w9_forms_001.jpg
☑	656 198 670 208	1681 2379	w9_forms_001.jpg
Trust	674 203 708 208	1681 2379	w9_forms_001.jpg
/	698 203 707 208	1681 2379	w9_forms_001.jpg
estate	705 203 737 208	1681 2379	w9_forms_001.jpg
Exempt 	753 214 795 223	1681 2379	w9_forms_001.jpg
payee 	796 214 828 223	1681 2379	w9_forms_001.jpg
code 	830 214 855 223	1681 2379	w9_forms_001.jpg
(	856 214 860 223	1681 2379	w9_forms_001.jpg
if 	859 214 867 223	1681 2379	w9_forms_001.jpg
any	869 214 887 223	1681 2379	w9_forms_001.jpg
)	886 214 890 223	1681 2379	w9_forms_001.jpg
☐	123 227 138 237	1681 2379	w9_forms_001.jpg
T	704 228 717 235	1681 2379	w9_forms_001.jpg
Exemption 	756 242 810 252	1681 2379	w9_forms_001.jpg
from 	814 242 837 252	1681 2379	w9_forms_001.jpg
FATCA 	841 242 876 252	1681 2379	w9_forms_001.jpg
reporting	879 242 926 252	1681 2379	w9_forms_001.jpg
code 	756 255 791 264	1681 2379	w9_forms_001.jpg
(	780 255 791 264	1681 2379	w9_forms_001.jpg
if 	787 255 796 264	1681 2379	w9_forms_001.jpg
any	795 255 817 264	1681 2379	w9_forms_001.jpg
)	813 255 820 264	1681 2379	w9_forms_001.jpg
☐	123 280 138 290	1681 2379	w9_forms_001.jpg
